"deaths","days","p","prod"
2499.34912219202,84,1e-04,1
2178.03443584668,84,1e-04,1
3122.97294762741,84,1e-04,1
2320.54074857836,84,1e-04,1
2489.21985588291,84,1e-04,1
2648.47234343094,84,1e-04,1
2385.91018518951,84,1e-04,1
2935.23230002014,84,1e-04,1
2454.89949848352,84,1e-04,1
2405.3639517565,84,1e-04,1
2839.45336703568,84,1e-04,1
2454.13639685375,84,1e-04,1
2401.691205506,84,1e-04,1
2943.76360609278,84,1e-04,1
3025.95680885608,84,1e-04,1
2274.13235411479,84,1e-04,1
2213.13060859739,84,1e-04,1
3194.53549267099,84,1e-04,1
2815.43659172243,84,1e-04,1
2540.18178543096,84,1e-04,1
2398.6784789417,84,1e-04,1
3238.72409184416,84,1e-04,1
2242.84690738531,84,1e-04,1
2303.26355888188,84,1e-04,1
3180.8462630296,84,1e-04,1
2814.43589543334,84,1e-04,1
2794.68797943047,84,1e-04,1
2263.5962941039,84,1e-04,1
2831.66632546761,84,1e-04,1
2375.09539854718,84,1e-04,1
2672.36741445497,84,1e-04,1
2358.99901908542,84,1e-04,1
2738.9734289502,84,1e-04,1
2790.09525085687,84,1e-04,1
3400.23215825081,84,1e-04,1
2626.17373965327,84,1e-04,1
3249.12924520703,84,1e-04,1
3194.22630256175,84,1e-04,1
2239.2937549478,84,1e-04,1
2615.87223481762,84,1e-04,1
2910.03079213165,84,1e-04,1
2606.83670042868,84,1e-04,1
3487.01336703926,84,1e-04,1
2243.45562720287,84,1e-04,1
3003.20346272433,84,1e-04,1
2166.26977203573,84,1e-04,1
2293.76598978693,84,1e-04,1
2548.40914146316,84,1e-04,1
1946.44792976469,84,1e-04,1
2535.76371839022,84,1e-04,1
2951.28686864455,84,1e-04,1
2706.59413147702,84,1e-04,1
3068.79087065972,84,1e-04,1
2512.64248646887,84,1e-04,1
3240.33462451732,84,1e-04,1
2853.57422926228,84,1e-04,1
2677.46425706867,84,1e-04,1
3121.9394157075,84,1e-04,1
2920.27740167269,84,1e-04,1
3125.73988817992,84,1e-04,1
2713.85707033924,84,1e-04,1
2155.17389302566,84,1e-04,1
2528.65971793484,84,1e-04,1
2922.61437834404,84,1e-04,1
2334.26888496947,84,1e-04,1
3149.95820995708,84,1e-04,1
3033.55990315502,84,1e-04,1
2343.77919566388,84,1e-04,1
3058.99276210692,84,1e-04,1
3417.23673606842,84,1e-04,1
3282.02358772793,84,1e-04,1
3286.29096065781,84,1e-04,1
3017.58198415364,84,1e-04,1
2721.13689473368,84,1e-04,1
3000.84487073615,84,1e-04,1
2666.92532608329,84,1e-04,1
3246.09226562907,84,1e-04,1
2770.66944676506,84,1e-04,1
2773.75736324779,84,1e-04,1
3502.20937107507,84,1e-04,1
2831.78566776944,84,1e-04,1
3133.82986763181,84,1e-04,1
2788.95011935027,84,1e-04,1
2583.29128210868,84,1e-04,1
2923.3355337014,84,1e-04,1
2999.1402462423,84,1e-04,1
2936.06193058332,84,1e-04,1
3380.63282858836,84,1e-04,1
3358.42675394022,84,1e-04,1
2902.09754734646,84,1e-04,1
2675.51531809021,84,1e-04,1
3384.90492915919,84,1e-04,1
3278.11807019728,84,1e-04,1
2205.08613910302,84,1e-04,1
2285.64383006915,84,1e-04,1
2551.04213838154,84,1e-04,1
2996.0540904614,84,1e-04,1
2892.52674338258,84,1e-04,1
2447.9137202703,84,1e-04,1
2824.12023009316,84,1e-04,1
2652.28901821028,84,1e-04,1
3119.2513023131,84,1e-04,1
3235.54700438154,84,1e-04,1
2788.81159885589,84,1e-04,1
2470.57221228189,84,1e-04,1
2465.9142163642,84,1e-04,1
2437.81228907137,84,1e-04,1
2478.99312827345,84,1e-04,1
2843.77938242834,84,1e-04,1
3030.69839265545,84,1e-04,1
2629.89872920371,84,1e-04,1
2287.76268912435,84,1e-04,1
2513.92242111958,84,1e-04,1
2664.2684686511,84,1e-04,1
2881.40482294546,84,1e-04,1
2691.91304422655,84,1e-04,1
3459.20018310642,84,1e-04,1
2837.47664951396,84,1e-04,1
2596.12333033796,84,1e-04,1
2317.93036752419,84,1e-04,1
2970.67840543337,84,1e-04,1
3175.64634511617,84,1e-04,1
2756.27880015106,84,1e-04,1
2595.07223900074,84,1e-04,1
2633.06164855571,84,1e-04,1
3146.47743004094,84,1e-04,1
2295.71320695474,84,1e-04,1
2327.90256957078,84,1e-04,1
2934.51310474915,84,1e-04,1
2721.8927729398,84,1e-04,1
2213.04413047962,84,1e-04,1
2496.81156407997,84,1e-04,1
2549.37757245424,84,1e-04,1
2317.18132881459,84,1e-04,1
2303.19753101696,84,1e-04,1
2624.9859174752,84,1e-04,1
2500.88735692248,84,1e-04,1
3501.19041448873,84,1e-04,1
2396.53587974235,84,1e-04,1
2955.87699282906,84,1e-04,1
3343.62317561164,84,1e-04,1
3602.91204973845,84,1e-04,1
2674.24274542603,84,1e-04,1
2314.91723432974,84,1e-04,1
2467.89706424916,84,1e-04,1
