"deaths","days","p"
2494.52446396727,84,1e-04
2194.44498069095,84,1e-04
3140.3373336033,84,1e-04
2333.77444899937,84,1e-04
2479.98777887327,84,1e-04
2616.41171464701,84,1e-04
2407.69661173168,84,1e-04
2954.1176692685,84,1e-04
2443.114549753,84,1e-04
2403.93988934174,84,1e-04
2892.59893219612,84,1e-04
2477.33658645973,84,1e-04
2421.10305166723,84,1e-04
2938.62422920715,84,1e-04
3040.47484063021,84,1e-04
2298.27045618844,84,1e-04
2220.66560006402,84,1e-04
3211.12802591704,84,1e-04
2827.95623301102,84,1e-04
2542.68699590851,84,1e-04
2414.81123581045,84,1e-04
3256.45526329178,84,1e-04
2248.03724256617,84,1e-04
2345.82646898889,84,1e-04
3186.58103064861,84,1e-04
2818.09773452546,84,1e-04
2794.67849368722,84,1e-04
2259.24535177232,84,1e-04
2837.54033970905,84,1e-04
2377.60363339976,84,1e-04
2665.91553455949,84,1e-04
2342.02597345207,84,1e-04
2731.92608740319,84,1e-04
2760.2632687086,84,1e-04
3357.0731138815,84,1e-04
2635.85684488977,84,1e-04
3252.75371492699,84,1e-04
3192.41291755694,84,1e-04
2234.74825797421,84,1e-04
2662.15707908514,84,1e-04
2944.13611139832,84,1e-04
2619.1898363957,84,1e-04
3461.64896965456,84,1e-04
2237.09082351445,84,1e-04
3029.39906474811,84,1e-04
2188.52107850805,84,1e-04
2296.92176143188,84,1e-04
2562.25466010059,84,1e-04
1953.40776686713,84,1e-04
2516.98985938234,84,1e-04
2987.84318692563,84,1e-04
2710.69758593721,84,1e-04
3087.51520945971,84,1e-04
2522.41916043019,84,1e-04
3245.55375237935,84,1e-04
2858.69643911777,84,1e-04
2684.92375367362,84,1e-04
3154.41160342304,84,1e-04
2904.0649532642,84,1e-04
3152.27890114246,84,1e-04
2732.01178248652,84,1e-04
2137.17634461915,84,1e-04
2558.75813795912,84,1e-04
2968.87114235553,84,1e-04
2333.3948095616,84,1e-04
3185.25156504305,84,1e-04
3035.20336341269,84,1e-04
2338.21660939248,84,1e-04
3070.32474797581,84,1e-04
3447.19900949491,84,1e-04
3257.30026682006,84,1e-04
3289.98841846962,84,1e-04
3039.45733665301,84,1e-04
2710.62589401386,84,1e-04
2998.96897694952,84,1e-04
2642.18981530084,84,1e-04
3234.7015079394,84,1e-04
2786.74797877632,84,1e-04
2755.34328471705,84,1e-04
3493.66565738771,84,1e-04
2836.93834958953,84,1e-04
3123.02392066034,84,1e-04
2749.07981360499,84,1e-04
2562.51910794499,84,1e-04
2925.81756676266,84,1e-04
3000.6131537833,84,1e-04
2928.91144563528,84,1e-04
3405.12562469907,84,1e-04
3354.08147587087,84,1e-04
2934.72735600726,84,1e-04
2697.80766696469,84,1e-04
3362.62374149427,84,1e-04
3284.78762441944,84,1e-04
2219.56251451147,84,1e-04
2258.93280354152,84,1e-04
2605.90475929206,84,1e-04
3013.30542018389,84,1e-04
2928.66389678113,84,1e-04
2458.51264770161,84,1e-04
2840.18511938126,84,1e-04
2669.55504964152,84,1e-04
3140.60089124467,84,1e-04
3271.33571418216,84,1e-04
2780.74010241128,84,1e-04
2500.57644568326,84,1e-04
2441.65110991263,84,1e-04
2422.3024887392,84,1e-04
2501.62349738349,84,1e-04
2867.40459241686,84,1e-04
3031.53039532671,84,1e-04
2590.91494969193,84,1e-04
2301.89953258744,84,1e-04
2511.53950787722,84,1e-04
2656.90714862569,84,1e-04
2959.1064059896,84,1e-04
2676.45839277339,84,1e-04
3442.52228527951,84,1e-04
2811.82190985037,84,1e-04
2585.95706902299,84,1e-04
2318.66306634069,84,1e-04
3015.3589140721,84,1e-04
3189.73122732234,84,1e-04
2749.96320905561,84,1e-04
2593.75624838977,84,1e-04
2666.4105667165,84,1e-04
3164.42889377578,84,1e-04
2277.30841599728,84,1e-04
2314.67058500693,84,1e-04
2955.55430353062,84,1e-04
2793.94224099827,84,1e-04
2199.79976241421,84,1e-04
2509.53146423911,84,1e-04
2563.80712471103,84,1e-04
2306.73619395649,84,1e-04
2305.39836337681,84,1e-04
2611.69257042732,84,1e-04
2496.26914808177,84,1e-04
3497.19152498375,84,1e-04
2421.2833025134,84,1e-04
2979.17928614643,84,1e-04
3379.8698771527,84,1e-04
3656.05552802702,84,1e-04
2696.93385525779,84,1e-04
2323.50971612419,84,1e-04
2477.78437954397,84,1e-04
