"","deaths","days","p","cov"
"1",2432.24812172905,84,1e-04,100
"2",2108.70538344514,84,1e-04,100
"3",3029.70536663939,84,1e-04,100
"4",2244.82571936002,84,1e-04,100
"5",2411.97266410362,84,1e-04,100
"6",2574.94282287069,84,1e-04,100
"7",2305.24389982423,84,1e-04,100
"8",2834.64330012101,84,1e-04,100
"9",2379.13156269121,84,1e-04,100
"10",2328.65227829855,84,1e-04,100
"11",2750.43958411057,84,1e-04,100
"12",2377.12278969245,84,1e-04,100
"13",2332.49134404508,84,1e-04,100
"14",2856.51201505059,84,1e-04,100
"15",2941.77388947405,84,1e-04,100
"16",2203.36369956648,84,1e-04,100
"17",2144.36665970972,84,1e-04,100
"18",3097.83151913719,84,1e-04,100
"19",2729.27957706455,84,1e-04,100
"20",2455.13436609178,84,1e-04,100
"21",2329.28447716559,84,1e-04,100
"22",3140.2844273469,84,1e-04,100
"23",2176.76972608796,84,1e-04,100
"24",2233.34481928882,84,1e-04,100
"25",3077.9521374727,84,1e-04,100
"26",2737.3904553547,84,1e-04,100
"27",2706.77606847726,84,1e-04,100
"28",2195.3165325396,84,1e-04,100
"29",2744.16012066803,84,1e-04,100
"30",2301.07577793222,84,1e-04,100
"31",2601.09587238629,84,1e-04,100
"32",2282.87637080201,84,1e-04,100
"33",2653.62248345976,84,1e-04,100
"34",2716.09418960199,84,1e-04,100
"35",3309.30120695821,84,1e-04,100
"36",2554.38700387855,84,1e-04,100
"37",3147.65009588271,84,1e-04,100
"38",3110.11433344416,84,1e-04,100
"39",2171.22249580914,84,1e-04,100
"40",2528.14328881744,84,1e-04,100
"41",2816.72667442029,84,1e-04,100
"42",2515.19949790794,84,1e-04,100
"43",3394.03526650889,84,1e-04,100
"44",2179.75307763096,84,1e-04,100
"45",2917.11176932316,84,1e-04,100
"46",2096.41783177243,84,1e-04,100
"47",2223.34740817099,84,1e-04,100
"48",2466.68504356287,84,1e-04,100
"49",1879.53008967216,84,1e-04,100
"50",2455.69518411619,84,1e-04,100
"51",2861.11650795111,84,1e-04,100
"52",2614.47246135135,84,1e-04,100
"53",2978.91954896869,84,1e-04,100
"54",2437.10702020832,84,1e-04,100
"55",3147.00380184286,84,1e-04,100
"56",2775.65926854996,84,1e-04,100
"57",2601.71053807871,84,1e-04,100
"58",3019.72313132514,84,1e-04,100
"59",2830.79548216618,84,1e-04,100
"60",3044.90238487452,84,1e-04,100
"61",2636.43408375522,84,1e-04,100
"62",2091.31137464679,84,1e-04,100
"63",2451.35582657555,84,1e-04,100
"64",2835.73842810727,84,1e-04,100
"65",2261.20989930211,84,1e-04,100
"66",3053.18917165947,84,1e-04,100
"67",2938.87520629567,84,1e-04,100
"68",2269.62025461687,84,1e-04,100
"69",2980.62708946319,84,1e-04,100
"70",3320.46716514101,84,1e-04,100
"71",3193.41148468467,84,1e-04,100
"72",3191.88649091528,84,1e-04,100
"73",2920.62679847706,84,1e-04,100
"74",2638.43654305598,84,1e-04,100
"75",2906.63520286035,84,1e-04,100
"76",2594.58999766222,84,1e-04,100
"77",3148.60479017668,84,1e-04,100
"78",2678.98328614073,84,1e-04,100
"79",2692.66691068525,84,1e-04,100
"80",3409.21059066949,84,1e-04,100
"81",2752.88432212716,84,1e-04,100
"82",3042.44167211382,84,1e-04,100
"83",2713.7266478946,84,1e-04,100
"84",2508.63586636771,84,1e-04,100
"85",2858.60340100332,84,1e-04,100
"86",2917.82842021192,84,1e-04,100
"87",2847.92429564005,84,1e-04,100
"88",3280.50937707092,84,1e-04,100
"89",3260.55276200501,84,1e-04,100
"90",2805.75578731272,84,1e-04,100
"91",2593.53357635815,84,1e-04,100
"92",3285.8917597817,84,1e-04,100
"93",3183.56299926962,84,1e-04,100
"94",2134.90404495003,84,1e-04,100
"95",2222.51823013931,84,1e-04,100
"96",2471.08617487674,84,1e-04,100
"97",2904.15307756427,84,1e-04,100
"98",2805.21310110907,84,1e-04,100
"99",2373.76623291649,84,1e-04,100
"100",2739.93645669377,84,1e-04,100
"101",2568.69103025559,84,1e-04,100
"102",3030.05185823411,84,1e-04,100
"103",3138.27876185878,84,1e-04,100
"104",2700.15966789446,84,1e-04,100
"105",2401.62133648911,84,1e-04,100
"106",2410.09775153569,84,1e-04,100
"107",2366.54314222195,84,1e-04,100
"108",2401.96644599452,84,1e-04,100
"109",2762.36682123276,84,1e-04,100
"110",2928.11852312101,84,1e-04,100
"111",2559.88144483155,84,1e-04,100
"112",2217.53958757988,84,1e-04,100
"113",2442.98322409324,84,1e-04,100
"114",2579.13325050236,84,1e-04,100
"115",2793.06200114112,84,1e-04,100
"116",2613.83341382421,84,1e-04,100
"117",3364.40747484493,84,1e-04,100
"118",2760.35070708135,84,1e-04,100
"119",2517.0716295658,84,1e-04,100
"120",2241.74079552208,84,1e-04,100
"121",2880.19200731765,84,1e-04,100
"122",3097.06819982761,84,1e-04,100
"123",2680.58117828015,84,1e-04,100
"124",2515.50291226165,84,1e-04,100
"125",2557.85639485933,84,1e-04,100
"126",3059.72641172473,84,1e-04,100
"127",2231.69182142203,84,1e-04,100
"128",2259.27593990848,84,1e-04,100
"129",2838.478589843,84,1e-04,100
"130",2641.35363181896,84,1e-04,100
"131",2146.50281963379,84,1e-04,100
"132",2417.11712070535,84,1e-04,100
"133",2469.41586594777,84,1e-04,100
"134",2250.02479922163,84,1e-04,100
"135",2229.93943194193,84,1e-04,100
"136",2551.8475818044,84,1e-04,100
"137",2429.34313837226,84,1e-04,100
"138",3406.96180836852,84,1e-04,100
"139",2322.2708268362,84,1e-04,100
"140",2876.24679738423,84,1e-04,100
"141",3248.61554244087,84,1e-04,100
"142",3504.55793313872,84,1e-04,100
"143",2585.74049075595,84,1e-04,100
"144",2239.54010763136,84,1e-04,100
"145",2389.30808329944,84,1e-04,100
"146",2324.55882313228,84,1e-04,100
"147",2856.23992966886,84,1e-04,100
"148",2337.77343569058,84,1e-04,100
"149",2987.92761863274,84,1e-04,100
"150",3156.44620100318,84,1e-04,100
"151",2586.9631945704,84,1e-04,100
"152",2797.77165036609,84,1e-04,100
"153",2330.32204710602,84,1e-04,100
"154",2744.02918738803,84,1e-04,100
"155",2601.40884577298,84,1e-04,100
"156",2295.88243898814,84,1e-04,100
"157",2967.82652890828,84,1e-04,100
"158",3082.81043833014,84,1e-04,100
"159",3160.57017364661,84,1e-04,100
"160",2423.70939628175,84,1e-04,100
"161",2161.67414315202,84,1e-04,100
"162",2535.10663178109,84,1e-04,100
"163",2851.93999109616,84,1e-04,100
"164",2976.35542163711,84,1e-04,100
"165",2510.56145602226,84,1e-04,100
"166",3003.61364066722,84,1e-04,100
"167",2701.8645909829,84,1e-04,100
"168",2993.67490744627,84,1e-04,100
"169",3210.63850139487,84,1e-04,100
"170",2900.48960369018,84,1e-04,100
"171",2455.03052129882,84,1e-04,100
"172",2763.29869082442,84,1e-04,100
"173",2859.95074191011,84,1e-04,100
"174",2619.93444782686,84,1e-04,100
"175",2950.30342471159,84,1e-04,100
"176",3365.15258904981,84,1e-04,100
"177",2552.82408907244,84,1e-04,100
"178",2450.88746845478,84,1e-04,100
"179",2406.04800006097,84,1e-04,100
"180",2162.93314582319,84,1e-04,100
"181",2430.51056957387,84,1e-04,100
"182",2492.57107954292,84,1e-04,100
"183",2959.42813903581,84,1e-04,100
"184",2875.83418614215,84,1e-04,100
"185",2580.53099088232,84,1e-04,100
"186",2336.76118207309,84,1e-04,100
"187",2287.32830103956,84,1e-04,100
"188",2331.62594900812,84,1e-04,100
"189",3277.9031251053,84,1e-04,100
"190",2852.71431327138,84,1e-04,100
"191",2920.80387844722,84,1e-04,100
"192",2503.43876985549,84,1e-04,100
"193",3049.77108996363,84,1e-04,100
"194",3026.69707522651,84,1e-04,100
"195",2935.32143478322,84,1e-04,100
"196",3363.61333130113,84,1e-04,100
"197",2763.6537301474,84,1e-04,100
"198",3509.63731028764,84,1e-04,100
"199",2406.95381462385,84,1e-04,100
"200",2435.20941826941,84,1e-04,100
"201",2369.56827450405,84,1e-04,100
"202",2901.17950383788,84,1e-04,100
"203",2417.35982876656,84,1e-04,100
"204",2802.76255636492,84,1e-04,100
"205",3160.54984252678,84,1e-04,100
"206",2609.66208528478,84,1e-04,100
"207",2338.99269602448,84,1e-04,100
"208",2609.25625113112,84,1e-04,100
"209",3046.17129963644,84,1e-04,100
"210",2744.65861105836,84,1e-04,100
"211",2703.59247968924,84,1e-04,100
"212",2489.66396881873,84,1e-04,100
"213",2952.45721440831,84,1e-04,100
"214",3306.40582752613,84,1e-04,100
"215",2668.32959177286,84,1e-04,100
"216",2209.49909914454,84,1e-04,100
"217",2531.10523841261,84,1e-04,100
"218",2779.17628265677,84,1e-04,100
"219",2607.96525348245,84,1e-04,100
"220",2216.42929925639,84,1e-04,100
"221",2762.12762015118,84,1e-04,100
"222",2892.81831922859,84,1e-04,100
"223",2454.23183821524,84,1e-04,100
"224",2052.0917247712,84,1e-04,100
"225",2770.94249366203,84,1e-04,100
"226",2488.33962113264,84,1e-04,100
"227",3168.96973045334,84,1e-04,100
"228",3065.09989117622,84,1e-04,100
"229",3049.21873087925,84,1e-04,100
"230",2878.81066211327,84,1e-04,100
"231",2866.51279735767,84,1e-04,100
"232",3027.72315806217,84,1e-04,100
"233",2871.39181587005,84,1e-04,100
"234",3109.58059466719,84,1e-04,100
"235",2110.83885865878,84,1e-04,100
"236",2411.4143430836,84,1e-04,100
"237",3015.05768500662,84,1e-04,100
"238",2315.86206125972,84,1e-04,100
"239",3003.10643908994,84,1e-04,100
"240",2727.65993142345,84,1e-04,100
"241",3045.45298393197,84,1e-04,100
"242",2698.47126932563,84,1e-04,100
"243",2955.62972555867,84,1e-04,100
"244",2763.49949563362,84,1e-04,100
"245",2607.02637346591,84,1e-04,100
"246",2760.88393722064,84,1e-04,100
"247",3052.05185478674,84,1e-04,100
"248",3000.25974371607,84,1e-04,100
"249",2653.9677732267,84,1e-04,100
"250",2198.08282222924,84,1e-04,100
"251",2739.26576430603,84,1e-04,100
"252",2996.0492984673,84,1e-04,100
"253",3377.35481347962,84,1e-04,100
"254",2410.07605223519,84,1e-04,100
"255",3040.66569005118,84,1e-04,100
"256",2520.43410306021,84,1e-04,100
"257",3009.19471541949,84,1e-04,100
"258",3003.8002661619,84,1e-04,100
"259",2763.86236169319,84,1e-04,100
"260",2540.42866224136,84,1e-04,100
"261",2669.28155721676,84,1e-04,100
"262",3354.23486418989,84,1e-04,100
"263",2797.44483256363,84,1e-04,100
"264",2045.35809783238,84,1e-04,100
