agefloor,total,obitos,ihfr
0,11792,840,0.0712
10,7896,872,0.1104
20,39931,5217,0.1307
30,117562,18242,0.1552
40,183475,38260,0.2085
50,240085,68989,0.2874
60,246099,100343,0.4077
70,190195,98233,0.5165
80,110961,66760,0.6017
90,28736,19471,0.6776
