vacina,agegroup,tempo_doses,n
AZ,2,13,6
AZ,2,15,1
AZ,2,16,11
AZ,2,17,20
AZ,2,18,16
AZ,2,19,10
AZ,2,20,7
AZ,2,23,4
AZ,2,24,18
AZ,2,25,8
AZ,2,26,3
AZ,2,27,6
AZ,2,29,1
AZ,2,30,4
AZ,2,31,13
AZ,2,32,11
AZ,2,33,4
AZ,2,34,4
AZ,2,37,6
AZ,2,38,5
AZ,2,39,12
AZ,2,40,12
AZ,2,41,6
AZ,2,44,16
AZ,2,45,14
AZ,2,46,9
AZ,2,47,12
AZ,2,48,12
AZ,2,49,1
AZ,2,50,2
AZ,2,51,4
AZ,2,52,11
AZ,2,53,9
AZ,2,54,17
AZ,2,55,15
AZ,2,57,3
AZ,2,58,14
AZ,2,59,8
AZ,2,60,12
AZ,2,61,9
AZ,2,62,3
AZ,2,65,16
AZ,2,66,3
AZ,2,67,3
AZ,2,68,6
AZ,2,69,3
AZ,2,71,12
AZ,2,72,4
AZ,2,73,29
AZ,2,74,3
AZ,2,75,3
AZ,2,76,4
AZ,2,79,3
AZ,2,80,3
AZ,2,81,5
AZ,2,82,12
AZ,2,83,12
AZ,2,86,5
AZ,2,87,1
AZ,2,88,5
AZ,2,89,1
AZ,2,90,1
AZ,2,94,2
AZ,2,95,5
AZ,2,96,2
AZ,2,97,1
AZ,2,100,2
AZ,2,101,3
AZ,2,102,5
AZ,2,103,2
AZ,2,104,3
AZ,2,107,6
AZ,2,108,6
AZ,2,109,11
AZ,2,110,10
AZ,2,111,9
AZ,2,114,3
AZ,2,115,2
AZ,2,117,2
AZ,2,121,1
AZ,2,124,1
AZ,2,129,1
AZ,2,138,1
AZ,3,13,156
AZ,3,15,15
AZ,3,16,126
AZ,3,17,147
AZ,3,18,114
AZ,3,19,112
AZ,3,20,101
AZ,3,22,24
AZ,3,23,45
AZ,3,24,93
AZ,3,25,60
AZ,3,26,75
AZ,3,27,47
AZ,3,28,1
AZ,3,29,10
AZ,3,30,85
AZ,3,31,92
AZ,3,32,138
AZ,3,33,93
AZ,3,34,78
AZ,3,36,19
AZ,3,37,103
AZ,3,38,62
AZ,3,39,97
AZ,3,40,88
AZ,3,41,115
AZ,3,43,16
AZ,3,44,89
AZ,3,45,106
AZ,3,46,77
AZ,3,47,93
AZ,3,48,127
AZ,3,49,1
AZ,3,50,37
AZ,3,51,72
AZ,3,52,65
AZ,3,53,92
AZ,3,54,102
AZ,3,55,69
AZ,3,57,39
AZ,3,58,67
AZ,3,59,43
AZ,3,60,55
AZ,3,61,25
AZ,3,62,21
AZ,3,64,2
AZ,3,65,51
AZ,3,66,24
AZ,3,67,21
AZ,3,68,38
AZ,3,69,36
AZ,3,71,46
AZ,3,72,61
AZ,3,73,111
AZ,3,74,57
AZ,3,75,64
AZ,3,76,75
AZ,3,77,1
AZ,3,78,6
AZ,3,79,23
AZ,3,80,16
AZ,3,81,129
AZ,3,82,115
AZ,3,83,116
AZ,3,85,1
AZ,3,86,129
AZ,3,87,78
AZ,3,88,85
AZ,3,89,21
AZ,3,90,15
AZ,3,93,25
AZ,3,94,45
AZ,3,95,65
AZ,3,96,53
AZ,3,97,17
AZ,3,100,19
AZ,3,101,42
AZ,3,102,61
AZ,3,103,81
AZ,3,104,129
AZ,3,105,2
AZ,3,106,19
AZ,3,107,83
AZ,3,108,77
AZ,3,109,160
AZ,3,110,119
AZ,3,111,122
AZ,3,113,4
AZ,3,114,32
AZ,3,115,46
AZ,3,116,15
AZ,3,117,16
AZ,3,118,9
AZ,3,121,8
AZ,3,122,13
AZ,3,123,1
AZ,3,124,3
AZ,3,125,3
AZ,3,129,4
AZ,3,131,3
AZ,3,138,1
AZ,3,200,1
AZ,4,13,291
AZ,4,14,1
AZ,4,15,42
AZ,4,16,285
AZ,4,17,361
AZ,4,18,186
AZ,4,19,274
AZ,4,20,230
AZ,4,22,18
AZ,4,23,102
AZ,4,24,140
AZ,4,25,89
AZ,4,26,122
AZ,4,27,83
AZ,4,29,14
AZ,4,30,121
AZ,4,31,111
AZ,4,32,180
AZ,4,33,124
AZ,4,34,109
AZ,4,36,13
AZ,4,37,161
AZ,4,38,84
AZ,4,39,133
AZ,4,40,134
AZ,4,41,157
AZ,4,43,19
AZ,4,44,109
AZ,4,45,94
AZ,4,46,151
AZ,4,47,101
AZ,4,48,204
AZ,4,49,4
AZ,4,50,20
AZ,4,51,274
AZ,4,52,210
AZ,4,53,78
AZ,4,54,107
AZ,4,55,101
AZ,4,57,53
AZ,4,58,73
AZ,4,59,34
AZ,4,60,64
AZ,4,61,36
AZ,4,62,23
AZ,4,65,64
AZ,4,66,35
AZ,4,67,32
AZ,4,68,50
AZ,4,69,51
AZ,4,71,47
AZ,4,72,50
AZ,4,73,132
AZ,4,74,85
AZ,4,75,70
AZ,4,76,114
AZ,4,77,4
AZ,4,78,13
AZ,4,79,38
AZ,4,80,15
AZ,4,81,199
AZ,4,82,144
AZ,4,83,82
AZ,4,85,2
AZ,4,86,90
AZ,4,87,82
AZ,4,88,64
AZ,4,89,23
AZ,4,90,38
AZ,4,91,1
AZ,4,93,38
AZ,4,94,91
AZ,4,95,144
AZ,4,96,127
AZ,4,97,51
AZ,4,100,38
AZ,4,101,72
AZ,4,102,123
AZ,4,103,237
AZ,4,104,210
AZ,4,105,9
AZ,4,106,39
AZ,4,107,187
AZ,4,108,211
AZ,4,109,359
AZ,4,110,235
AZ,4,111,299
AZ,4,112,2
AZ,4,113,5
AZ,4,114,68
AZ,4,115,55
AZ,4,116,26
AZ,4,117,38
AZ,4,118,31
AZ,4,121,18
AZ,4,122,17
AZ,4,123,1
AZ,4,124,4
AZ,4,125,4
AZ,4,128,2
AZ,4,129,3
AZ,4,131,3
AZ,4,146,1
AZ,4,160,1
AZ,4,200,1
AZ,5,13,532
AZ,5,14,1
AZ,5,15,67
AZ,5,16,465
AZ,5,17,552
AZ,5,18,292
AZ,5,19,448
AZ,5,20,366
AZ,5,22,22
AZ,5,23,172
AZ,5,24,254
AZ,5,25,197
AZ,5,26,197
AZ,5,27,146
AZ,5,29,7
AZ,5,30,100
AZ,5,31,111
AZ,5,32,184
AZ,5,33,149
AZ,5,34,133
AZ,5,36,7
AZ,5,37,161
AZ,5,38,115
AZ,5,39,163
AZ,5,40,119
AZ,5,41,161
AZ,5,43,30
AZ,5,44,108
AZ,5,45,107
AZ,5,46,132
AZ,5,47,110
AZ,5,48,172
AZ,5,49,1
AZ,5,50,22
AZ,5,51,260
AZ,5,52,235
AZ,5,53,90
