vacina,agegroup,tempo_doses,n
AZ,1,37,1
AZ,1,44,1
AZ,2,13,18
AZ,2,15,6
AZ,2,16,14
AZ,2,17,8
AZ,2,18,16
AZ,2,19,13
AZ,2,20,6
AZ,2,21,1
AZ,2,22,1
AZ,2,23,7
AZ,2,24,4
AZ,2,25,15
AZ,2,26,15
AZ,2,27,8
AZ,2,28,2
AZ,2,30,6
AZ,2,31,5
AZ,2,32,12
AZ,2,33,16
AZ,2,34,32
AZ,2,36,9
AZ,2,37,9
AZ,2,38,12
AZ,2,39,7
AZ,2,40,87
AZ,2,41,41
AZ,2,43,20
AZ,2,44,29
AZ,2,45,30
AZ,2,46,26
AZ,2,47,12
AZ,2,48,7
AZ,2,51,1
AZ,2,56,1
AZ,2,87,1
AZ,2,89,1
AZ,2,90,1
AZ,2,94,1
AZ,2,96,2
AZ,2,97,3
AZ,2,99,1
AZ,2,100,2
AZ,2,101,2
AZ,2,102,2
AZ,2,103,4
AZ,2,104,3
AZ,2,106,1
AZ,2,107,2
AZ,2,108,4
AZ,2,109,7
AZ,2,110,4
AZ,2,111,3
AZ,2,114,1
AZ,2,115,4
AZ,3,13,144
AZ,3,14,5
AZ,3,15,37
AZ,3,16,138
AZ,3,17,113
AZ,3,18,123
AZ,3,19,85
AZ,3,20,60
AZ,3,21,11
AZ,3,22,5
AZ,3,23,89
AZ,3,24,52
AZ,3,25,111
AZ,3,26,151
AZ,3,27,86
AZ,3,28,61
AZ,3,29,28
AZ,3,30,65
AZ,3,31,80
AZ,3,32,147
AZ,3,33,152
AZ,3,34,119
AZ,3,35,26
AZ,3,36,66
AZ,3,37,141
AZ,3,38,147
AZ,3,39,149
AZ,3,40,531
AZ,3,41,288
AZ,3,42,43
AZ,3,43,145
AZ,3,44,160
AZ,3,45,134
AZ,3,46,128
AZ,3,47,71
AZ,3,48,41
AZ,3,49,6
AZ,3,50,2
AZ,3,51,16
AZ,3,52,15
AZ,3,53,3
AZ,3,54,6
AZ,3,55,9
AZ,3,56,4
AZ,3,57,6
AZ,3,58,2
AZ,3,59,1
AZ,3,60,3
AZ,3,61,2
AZ,3,64,1
AZ,3,65,1
AZ,3,66,2
AZ,3,67,5
AZ,3,68,6
AZ,3,69,6
AZ,3,71,3
AZ,3,72,6
AZ,3,73,7
AZ,3,74,6
AZ,3,75,25
AZ,3,76,25
AZ,3,77,11
AZ,3,78,25
AZ,3,79,24
AZ,3,80,50
AZ,3,81,45
AZ,3,82,19
AZ,3,83,17
AZ,3,85,2
AZ,3,86,18
AZ,3,87,43
AZ,3,88,36
AZ,3,89,52
AZ,3,90,55
AZ,3,92,9
AZ,3,93,69
AZ,3,94,38
AZ,3,95,42
AZ,3,96,17
AZ,3,97,34
AZ,3,98,1
AZ,3,99,4
AZ,3,100,46
AZ,3,101,48
AZ,3,102,69
AZ,3,103,62
AZ,3,104,90
AZ,3,105,1
AZ,3,106,22
AZ,3,107,78
AZ,3,108,43
AZ,3,109,120
AZ,3,110,108
AZ,3,111,82
AZ,3,113,2
AZ,3,114,20
AZ,3,115,38
AZ,3,116,4
AZ,3,178,1
AZ,3,179,1
AZ,3,180,1
AZ,3,188,1
AZ,4,13,223
AZ,4,14,18
AZ,4,15,51
AZ,4,16,257
AZ,4,17,238
AZ,4,18,266
AZ,4,19,240
AZ,4,20,175
AZ,4,21,34
AZ,4,22,6
AZ,4,23,109
AZ,4,24,48
AZ,4,25,84
AZ,4,26,163
AZ,4,27,89
AZ,4,28,48
AZ,4,29,25
AZ,4,30,80
AZ,4,31,81
AZ,4,32,168
AZ,4,33,137
AZ,4,34,138
AZ,4,35,36
AZ,4,36,47
AZ,4,37,101
AZ,4,38,160
AZ,4,39,170
AZ,4,40,495
AZ,4,41,312
AZ,4,42,58
AZ,4,43,170
AZ,4,44,159
AZ,4,45,113
AZ,4,46,133
AZ,4,47,118
AZ,4,48,62
AZ,4,49,30
AZ,4,50,2
AZ,4,51,17
AZ,4,52,19
AZ,4,53,10
AZ,4,54,15
AZ,4,55,12
AZ,4,56,8
AZ,4,57,4
AZ,4,58,6
AZ,4,59,2
AZ,4,60,5
AZ,4,61,5
AZ,4,62,2
AZ,4,63,2
AZ,4,66,4
AZ,4,67,14
AZ,4,68,6
AZ,4,69,9
AZ,4,70,2
AZ,4,72,7
AZ,4,73,16
AZ,4,74,21
AZ,4,75,29
AZ,4,76,41
AZ,4,77,22
AZ,4,78,58
AZ,4,79,42
AZ,4,80,85
AZ,4,81,63
AZ,4,82,18
AZ,4,83,16
AZ,4,84,2
AZ,4,85,2
AZ,4,86,16
AZ,4,87,59
AZ,4,88,65
AZ,4,89,46
AZ,4,90,66
AZ,4,91,1
AZ,4,92,4
AZ,4,93,31
AZ,4,94,30
AZ,4,95,47
AZ,4,96,65
AZ,4,97,79
AZ,4,98,3
AZ,4,99,2
AZ,4,100,63
AZ,4,101,79
AZ,4,102,108
AZ,4,103,120
AZ,4,104,178
AZ,4,105,1
AZ,4,106,26
AZ,4,107,196
AZ,4,108,82
AZ,4,109,200
AZ,4,110,150
AZ,4,111,128
AZ,4,112,1
AZ,4,113,1
AZ,4,114,46
AZ,4,115,59
AZ,4,116,6
AZ,4,199,1
AZ,4,201,1
AZ,5,13,475
AZ,5,14,42
AZ,5,15,104
AZ,5,16,498
AZ,5,17,492
AZ,5,18,488
AZ,5,19,506
AZ,5,20,302
AZ,5,21,56
AZ,5,22,9
AZ,5,23,123
AZ,5,24,56
AZ,5,25,174
AZ,5,26,197
AZ,5,27,91
AZ,5,28,45
AZ,5,29,11
AZ,5,30,66
AZ,5,31,97
AZ,5,32,168
AZ,5,33,161
AZ,5,34,138
AZ,5,35,48
AZ,5,36,48
AZ,5,37,93
AZ,5,38,117
