vacina,agegroup,tempo_doses,n
AZ,2,13,1
AZ,2,16,4
AZ,2,17,3
AZ,2,18,1
AZ,2,23,1
AZ,2,25,1
AZ,2,27,1
AZ,2,28,1
AZ,2,31,1
AZ,2,38,1
AZ,2,40,4
AZ,2,44,1
AZ,2,45,3
AZ,2,47,1
AZ,2,52,1
AZ,2,53,2
AZ,2,58,3
AZ,2,61,2
AZ,2,81,1
AZ,2,87,1
AZ,2,88,1
AZ,2,89,1
AZ,2,90,2
AZ,2,100,1
AZ,2,101,1
AZ,2,103,2
AZ,2,109,1
AZ,3,13,8
AZ,3,15,7
AZ,3,16,7
AZ,3,17,11
AZ,3,18,13
AZ,3,19,10
AZ,3,20,7
AZ,3,22,3
AZ,3,23,4
AZ,3,24,5
AZ,3,25,12
AZ,3,26,14
AZ,3,27,8
AZ,3,28,7
AZ,3,29,1
AZ,3,30,6
AZ,3,31,6
AZ,3,32,9
AZ,3,33,6
AZ,3,34,17
AZ,3,36,1
AZ,3,37,29
AZ,3,38,11
AZ,3,39,5
AZ,3,40,93
AZ,3,41,17
AZ,3,44,2
AZ,3,45,27
AZ,3,46,11
AZ,3,47,53
AZ,3,48,24
AZ,3,51,10
AZ,3,52,37
AZ,3,53,34
AZ,3,54,26
AZ,3,56,1
AZ,3,57,1
AZ,3,58,18
AZ,3,59,8
AZ,3,60,12
AZ,3,61,21
AZ,3,62,5
AZ,3,64,1
AZ,3,65,7
AZ,3,66,7
AZ,3,67,3
AZ,3,68,1
AZ,3,69,5
AZ,3,73,2
AZ,3,75,1
AZ,3,76,3
AZ,3,79,1
AZ,3,80,2
AZ,3,81,2
AZ,3,82,10
AZ,3,83,14
AZ,3,86,22
AZ,3,87,21
AZ,3,88,16
AZ,3,89,29
AZ,3,90,15
AZ,3,92,1
AZ,3,93,11
AZ,3,94,6
AZ,3,95,3
AZ,3,96,2
AZ,3,97,5
AZ,3,100,3
AZ,3,101,2
AZ,3,102,2
AZ,3,103,7
AZ,3,104,9
AZ,3,106,1
AZ,3,107,3
AZ,3,108,9
AZ,3,109,19
AZ,3,110,17
AZ,3,111,19
AZ,3,114,4
AZ,3,115,8
AZ,3,156,1
AZ,4,13,25
AZ,4,15,6
AZ,4,16,17
AZ,4,17,23
AZ,4,18,17
AZ,4,19,13
AZ,4,20,10
AZ,4,22,2
AZ,4,23,7
AZ,4,24,12
AZ,4,25,11
AZ,4,26,17
AZ,4,27,11
AZ,4,28,2
AZ,4,30,2
AZ,4,31,8
AZ,4,32,11
AZ,4,33,9
AZ,4,34,8
AZ,4,36,3
AZ,4,37,18
AZ,4,38,7
AZ,4,39,10
AZ,4,40,31
AZ,4,41,29
AZ,4,43,1
AZ,4,44,2
AZ,4,45,27
AZ,4,46,10
AZ,4,47,57
AZ,4,48,34
AZ,4,50,1
AZ,4,51,13
AZ,4,52,29
AZ,4,53,42
AZ,4,54,26
AZ,4,55,1
AZ,4,58,14
AZ,4,59,9
AZ,4,60,18
AZ,4,61,26
AZ,4,62,11
AZ,4,64,2
AZ,4,65,13
AZ,4,66,11
AZ,4,67,11
AZ,4,68,3
AZ,4,69,3
AZ,4,72,3
AZ,4,73,4
AZ,4,74,4
AZ,4,75,3
AZ,4,76,3
AZ,4,79,2
AZ,4,81,4
AZ,4,82,5
AZ,4,83,15
AZ,4,86,19
AZ,4,87,26
AZ,4,88,10
AZ,4,89,24
AZ,4,90,10
AZ,4,93,4
AZ,4,94,7
AZ,4,95,3
AZ,4,96,2
AZ,4,97,16
AZ,4,101,2
AZ,4,103,2
AZ,4,104,6
AZ,4,106,1
AZ,4,107,5
AZ,4,108,5
AZ,4,109,11
AZ,4,110,16
AZ,4,111,16
AZ,4,114,1
AZ,4,115,12
AZ,4,116,5
AZ,4,121,1
AZ,4,131,2
AZ,4,158,1
AZ,5,13,31
AZ,5,15,7
AZ,5,16,18
AZ,5,17,30
AZ,5,18,18
AZ,5,19,15
AZ,5,20,11
AZ,5,22,2
AZ,5,23,9
