vacina,agegroup,n
AZ,1,3
AZ,2,2357
AZ,3,39068
AZ,4,80593
AZ,5,122697
AZ,6,337950
AZ,7,586855
AZ,8,87132
AZ,9,96248
AZ,10,18494
Coronavac,2,4585
Coronavac,3,71372
Coronavac,4,109115
Coronavac,5,181171
Coronavac,6,99245
Coronavac,7,599774
Coronavac,8,618373
Coronavac,9,179921
Coronavac,10,37380
Pfizer,2,107
Pfizer,3,1206
Pfizer,4,11624
Pfizer,5,20783
Pfizer,6,41111
Pfizer,7,3474
Pfizer,8,488
Pfizer,9,105
Pfizer,10,11
