vacina,agegroup,n
AZ,1,5
AZ,2,2923
AZ,3,30747
AZ,4,41462
AZ,5,43596
AZ,6,83575
AZ,7,356010
AZ,8,16735
AZ,9,39477
AZ,10,964
Coronavac,1,8
Coronavac,2,3770
Coronavac,3,45732
Coronavac,4,61347
Coronavac,5,79129
Coronavac,6,56682
Coronavac,7,154702
Coronavac,8,270818
Coronavac,9,59883
Coronavac,10,15469
Pfizer,2,26
Pfizer,3,363
Pfizer,4,699
Pfizer,5,603
Pfizer,6,1324
Pfizer,7,5024
Pfizer,8,100
Pfizer,9,16
Pfizer,10,2
