vacina,agegroup,n
AZ,1,5
AZ,2,6146
AZ,3,61125
AZ,4,100742
AZ,5,160411
AZ,6,290591
AZ,7,519487
AZ,8,51237
AZ,9,90917
AZ,10,3556
Coronavac,1,8
Coronavac,2,5911
Coronavac,3,73377
Coronavac,4,102942
Coronavac,5,122314
Coronavac,6,65929
Coronavac,7,512716
Coronavac,8,543034
Coronavac,9,135926
Coronavac,10,37110
Pfizer,2,887
Pfizer,3,9310
Pfizer,4,14245
Pfizer,5,14250
Pfizer,6,20291
Pfizer,7,1470
Pfizer,8,224
Pfizer,9,65
Pfizer,10,7
