vacina,agegroup,n
AZ,1,9
AZ,2,2413
AZ,3,30374
AZ,4,39545
AZ,5,39963
AZ,6,80512
AZ,7,617006
AZ,8,19503
AZ,9,80742
AZ,10,2202
Coronavac,1,10
Coronavac,2,7272
Coronavac,3,75814
Coronavac,4,91508
Coronavac,5,103174
Coronavac,6,52767
Coronavac,7,254610
Coronavac,8,480758
Coronavac,9,105286
Coronavac,10,28904
Pfizer,2,510
Pfizer,3,6710
Pfizer,4,7492
Pfizer,5,2299
Pfizer,6,10427
Pfizer,7,314
Pfizer,8,25
Pfizer,9,12
Pfizer,10,14
