vacina,agegroup,n
AZ,1,3
AZ,2,3578
AZ,3,29795
AZ,4,42102
AZ,5,56368
AZ,6,90961
AZ,7,219865
AZ,8,36144
AZ,9,84434
AZ,10,23278
Coronavac,1,4
Coronavac,2,3761
Coronavac,3,58095
Coronavac,4,78580
Coronavac,5,71072
Coronavac,6,43776
Coronavac,7,289768
Coronavac,8,297034
Coronavac,9,44400
Coronavac,10,2698
Pfizer,2,91
Pfizer,3,843
Pfizer,4,984
Pfizer,5,598
Pfizer,6,620
Pfizer,7,163
Pfizer,8,33
Pfizer,9,16
Pfizer,10,3
