vacina,agegroup,n
AZ,1,1
AZ,2,1070
AZ,3,11252
AZ,4,18938
AZ,5,21653
AZ,6,31262
AZ,7,110343
AZ,8,8178
AZ,9,10111
AZ,10,615
Coronavac,1,2
Coronavac,2,2864
Coronavac,3,25522
Coronavac,4,29652
Coronavac,5,27450
Coronavac,6,17810
Coronavac,7,76199
Coronavac,8,89480
Coronavac,9,23852
Coronavac,10,4948
Pfizer,2,34
Pfizer,3,277
Pfizer,4,748
Pfizer,5,1320
Pfizer,6,6037
Pfizer,7,325
Pfizer,8,40
Pfizer,9,9
Pfizer,10,1
