vacina,agegroup,n
AZ,2,576
AZ,3,10608
AZ,4,14682
AZ,5,14799
AZ,6,30958
AZ,7,103848
AZ,8,23419
AZ,9,21167
AZ,10,3547
Coronavac,2,724
Coronavac,3,26472
Coronavac,4,39160
Coronavac,5,45245
Coronavac,6,28439
Coronavac,7,59447
Coronavac,8,72402
Coronavac,9,14879
Coronavac,10,2530
Pfizer,2,32
Pfizer,3,322
Pfizer,4,611
Pfizer,5,602
Pfizer,6,4364
Pfizer,7,552
Pfizer,8,64
Pfizer,9,3
