vacina,agegroup,n
AZ,1,5
AZ,2,5373
AZ,3,55617
AZ,4,87446
AZ,5,142945
AZ,6,174752
AZ,7,393131
AZ,8,76386
AZ,9,70697
AZ,10,4230
Coronavac,1,12
Coronavac,2,3118
Coronavac,3,44629
Coronavac,4,76678
Coronavac,5,105546
Coronavac,6,74193
Coronavac,7,386578
Coronavac,8,420150
Coronavac,9,142943
Coronavac,10,47980
Pfizer,2,113
Pfizer,3,1187
Pfizer,4,4873
Pfizer,5,7100
Pfizer,6,10972
Pfizer,7,281
Pfizer,8,50
Pfizer,9,29
Pfizer,10,16
