vacina,agegroup,n
AZ,1,1
AZ,2,5512
AZ,3,40021
AZ,4,65571
AZ,5,80435
AZ,6,86588
AZ,7,159927
AZ,8,28405
AZ,9,31012
AZ,10,4011
Coronavac,1,5
Coronavac,2,5818
Coronavac,3,38336
Coronavac,4,50908
Coronavac,5,44162
Coronavac,6,30417
Coronavac,7,146665
Coronavac,8,161039
Coronavac,9,49563
Coronavac,10,12854
Pfizer,2,128
Pfizer,3,1420
Pfizer,4,2419
Pfizer,5,2703
Pfizer,6,8914
Pfizer,7,176
Pfizer,8,27
Pfizer,9,10
Pfizer,10,1
