vacina,agegroup,n
AZ,1,33
AZ,2,10598
AZ,3,132287
AZ,4,183815
AZ,5,193992
AZ,6,497432
AZ,7,2192589
AZ,8,147486
AZ,9,378033
AZ,10,20169
Coronavac,1,114
Coronavac,2,25083
Coronavac,3,314394
Coronavac,4,456806
Coronavac,5,918823
Coronavac,6,654142
Coronavac,7,1124114
Coronavac,8,1880817
Coronavac,9,422217
Coronavac,10,130819
Pfizer,1,1
Pfizer,2,128
Pfizer,3,1622
Pfizer,4,3032
Pfizer,5,4349
Pfizer,6,75746
Pfizer,7,119815
Pfizer,8,550
Pfizer,9,97
Pfizer,10,16
